iter	Passed	Remaining
0	6	3144
1	11	2779
2	15	2595
3	20	2548
4	25	2509
5	30	2476
6	34	2453
7	39	2442
8	44	2411
9	48	2397
10	53	2398
11	58	2388
12	63	2380
13	68	2362
14	72	2355
15	77	2344
16	82	2342
17	86	2327
18	91	2315
19	96	2311
20	101	2307
21	105	2301
22	110	2299
23	115	2293
24	120	2286
25	125	2284
26	130	2280
27	134	2272
28	139	2263
29	143	2255
30	148	2248
31	153	2240
32	158	2236
33	163	2243
34	168	2238
35	173	2235
36	178	2231
37	182	2218
38	186	2200
39	190	2186
40	194	2173
41	198	2159
42	201	2145
43	205	2130
44	209	2115
45	213	2102
46	216	2089
47	220	2076
48	224	2063
49	228	2052
50	231	2039
51	235	2028
52	239	2019
53	243	2008
54	247	2001
55	251	1992
56	255	1982
57	258	1970
58	262	1961
59	266	1954
60	270	1946
61	274	1938
62	278	1928
63	282	1922
64	285	1913
65	289	1902
66	293	1896
67	297	1891
68	301	1882
69	305	1875
70	308	1863
71	312	1856
72	316	1848
73	319	1839
74	323	1831
75	327	1824
76	330	1817
77	334	1811
78	338	1804
79	342	1798
80	346	1792
81	350	1784
82	353	1777
83	357	1771
84	361	1765
85	365	1759
86	369	1754
87	373	1748
88	377	1741
89	381	1736
90	385	1730
91	388	1723
92	392	1717
93	396	1711
94	399	1703
95	403	1697
96	407	1692
97	411	1686
98	414	1680
99	418	1674
100	422	1668
101	426	1662
102	430	1658
103	434	1652
104	437	1647
105	441	1641
106	445	1635
107	448	1629
108	452	1623
109	456	1617
110	459	1611
111	463	1605
112	467	1600
113	471	1595
114	474	1590
115	478	1584
116	482	1580
117	486	1575
118	490	1570
119	494	1564
120	498	1560
121	501	1554
122	505	1550
123	509	1545
124	513	1539
125	517	1534
126	520	1529
127	524	1523
128	527	1518
129	531	1513
130	535	1508
131	539	1504
132	543	1499
133	547	1494
134	550	1489
135	554	1484
136	558	1479
137	561	1474
138	565	1469
139	569	1464
140	573	1459
141	577	1454
142	580	1450
143	584	1445
144	588	1440
145	592	1435
146	595	1430
147	599	1425
148	603	1420
149	607	1416
150	611	1412
151	614	1407
152	618	1403
153	622	1398
154	626	1394
155	630	1389
156	634	1385
157	638	1381
158	641	1376
159	645	1372
160	649	1367
161	653	1362
162	656	1357
163	660	1353
164	664	1348
165	668	1344
166	672	1340
167	675	1335
168	679	1331
169	683	1326
170	687	1322
171	690	1317
172	694	1313
173	698	1309
174	702	1304
175	706	1300
176	710	1297
177	714	1292
178	717	1287
179	721	1283
180	725	1278
181	729	1273
182	732	1269
183	736	1265
184	740	1260
185	744	1256
186	747	1251
187	751	1247
188	755	1243
189	759	1238
190	762	1234
191	766	1230
192	770	1226
193	774	1221
194	778	1217
195	782	1213
196	786	1209
197	789	1204
198	793	1200
199	797	1195
200	800	1191
201	804	1187
202	808	1183
203	812	1178
204	816	1174
205	820	1170
206	823	1165
207	827	1161
208	831	1157
209	835	1153
210	839	1149
211	842	1144
212	846	1140
213	850	1136
214	853	1131
215	857	1127
216	862	1124
217	865	1119
218	869	1115
219	873	1111
220	877	1107
221	881	1103
222	884	1099
223	888	1094
224	892	1090
225	895	1086
226	899	1082
227	903	1078
228	907	1074
229	911	1069
230	914	1065
231	918	1061
232	922	1057
233	926	1052
234	929	1048
235	933	1044
236	937	1040
237	941	1036
238	945	1032
239	949	1028
240	953	1024
241	957	1020
242	961	1016
243	965	1012
244	968	1008
245	972	1004
246	976	1000
247	980	996
248	984	992
249	988	988
250	992	984
251	996	981
252	1000	976
253	1005	973
254	1009	969
255	1013	965
256	1017	962
257	1022	958
258	1026	954
259	1030	950
260	1033	946
261	1037	942
262	1041	938
263	1045	934
264	1048	930
265	1052	926
266	1056	921
267	1060	917
268	1064	913
269	1067	909
270	1071	905
271	1075	901
272	1079	897
273	1083	893
274	1086	889
275	1090	885
276	1094	880
277	1098	876
278	1101	872
279	1105	868
280	1109	864
281	1113	860
282	1117	856
283	1120	852
284	1124	848
285	1128	844
286	1132	840
287	1135	836
288	1139	832
289	1143	828
290	1147	824
291	1151	820
292	1155	816
293	1159	812
294	1163	808
295	1167	804
296	1171	800
297	1174	796
298	1178	792
299	1182	788
300	1186	784
301	1190	780
302	1193	776
303	1197	772
304	1201	767
305	1204	763
306	1208	759
307	1212	755
308	1216	752
309	1220	748
310	1224	743
311	1227	739
312	1231	735
313	1235	731
314	1239	727
315	1242	723
316	1246	719
317	1251	716
318	1255	712
319	1258	708
320	1262	704
321	1266	700
322	1270	696
323	1274	692
324	1278	688
325	1282	684
326	1286	680
327	1290	676
328	1293	672
329	1297	668
330	1301	664
331	1305	660
332	1309	656
333	1313	652
334	1317	648
335	1321	644
336	1325	640
337	1329	636
338	1332	632
339	1336	628
340	1340	625
341	1344	621
342	1347	616
343	1351	612
344	1355	608
345	1358	604
346	1363	601
347	1366	597
348	1371	593
349	1374	589
350	1378	585
351	1382	581
352	1386	577
353	1390	573
354	1393	569
355	1397	565
356	1401	561
357	1405	557
358	1409	553
359	1412	549
360	1417	545
361	1420	541
362	1424	537
363	1428	533
364	1432	529
365	1436	525
366	1439	521
367	1443	517
368	1447	513
369	1451	509
370	1455	505
371	1459	502
372	1463	498
373	1467	494
374	1470	490
375	1474	486
376	1478	482
377	1482	478
378	1486	474
379	1489	470
380	1493	466
381	1497	462
382	1501	458
383	1504	454
384	1509	450
385	1513	446
386	1517	443
387	1521	439
388	1525	435
389	1529	431
390	1532	427
391	1536	423
392	1540	419
393	1544	415
394	1548	411
395	1552	407
396	1556	403
397	1559	399
398	1563	395
399	1566	391
400	1570	387
401	1574	383
402	1578	379
403	1581	375
404	1585	371
405	1588	367
406	1592	363
407	1596	359
408	1600	356
409	1604	352
410	1607	348
411	1611	344
412	1615	340
413	1619	336
414	1623	332
415	1627	328
